,perplexities,input,skill
1880,1440.88623046875,i want to learn analyse theatre texts,analyse theatre texts
1479,1438.9088134765625,i want to learn analyse claim files,analyse claim files
570,1437.0450439453125,i want to learn analyse recorded sources,analyse recorded sources
9999,1430.269775390625,i want to learn analyse transport business networks,analyse transport business networks
2664,1426.8883056640625,i want to learn OpenEdge Advanced Business Language,OpenEdge Advanced Business Language
1920,1422.4609375,i want to learn Oracle Warehouse Builder,Oracle Warehouse Builder
6253,1422.015380859375,i want to learn to perform beverage dealcoholisation, perform beverage dealcoholisation
6319,1421.540771484375,i want to learn to tend drying tunnels, tend drying tunnels
9416,1414.474365234375,i want to learn to footwear machinery, footwear machinery
10522,1407.759765625,i want to learn analyse seismic risk,analyse seismic risk
3436,1407.3994140625,i want to learn analyse booking patterns,analyse booking patterns
13855,1400.3377685546875,i want to learn to procure time sheet approval, procure time sheet approval
5257,1396.2791748046875,i want to learn analyse membership,analyse membership
7119,1389.8814697265625,i want to learn to performing arts fights legal regulations, performing arts fights legal regulations
13007,1384.5269775390625,i want to learn to tend beverage gasifier equipment, tend beverage gasifier equipment
13122,1382.8516845703125,i want to learn to risks of elevated advertising structures, risks of elevated advertising structures
881,1367.9927978515625,i want to learn to balneotherapy, balneotherapy
649,1367.7633056640625,i want to learn analyse transmitted communications,analyse transmitted communications
419,1365.119873046875,i want to learn to WizIQ, WizIQ
5319,1360.0927734375,i want to learn to European pesticide legislation, European pesticide legislation
9606,1360.0616455078125,i want to learn to grain dehydration recipes, grain dehydration recipes
2669,1338.4600830078125,i want to learn to gas dehydration processes, gas dehydration processes
8374,1335.7669677734375,i want to learn mount clock wheelwork,mount clock wheelwork
13024,1333.4078369140625,i want to learn to tend mechanical forging press, tend mechanical forging press
4721,1331.9132080078125,i want to learn to dermapathology, dermapathology
13095,1331.0782470703125,i want to learn to tend upsetting machine, tend upsetting machine
10419,1329.6883544921875,i want to learn to wide web flexographic printing press, wide web flexographic printing press
10830,1322.5322265625,i want to learn to hazardous freight regulations, hazardous freight regulations
5696,1314.638916015625,i want to learn to dipping tank types, dipping tank types
4065,1314.1112060546875,i want to learn analyse oil operations data,analyse oil operations data
11414,1310.773681640625,i want to learn to examine prospective blast area, examine prospective blast area
3332,1310.7025146484375,i want to learn to chiropody, chiropody
11601,1308.8214111328125,i want to learn to alcohol fuels, alcohol fuels
6074,1306.1473388671875,i want to learn analyse legislation,analyse legislation
11728,1302.6064453125,i want to learn to tend asphalt mixing machine, tend asphalt mixing machine
12390,1300.712158203125,i want to learn to coordinate coremaking shifts, coordinate coremaking shifts
556,1294.947509765625,i want to learn to types of tidal stream generators, types of tidal stream generars
11444,1287.6903076171875,i want to learn unmoor vessels,unmoor vessels
5561,1274.844482421875,i want to learn to ensure gambling operational standards, ensure gambling operational standards
3254,1269.15283203125,i want to learn edit dictated medical texts,edit dictated medical texts
11671,1268.9300537109375,i want to learn to report mine machinery repairs, report mine machinery repairs
13891,1268.7781982421875,i want to learn remediate healthcare user's occupational performance,remediate healthcare user's occupational performance
1774,1267.7314453125,i want to learn to determine lather goods warehouse layout, determine lather goods warehouse layout
11743,1265.0224609375,i want to learn analyse irregular migration,analyse irregular migration
7636,1262.17724609375,i want to learn to wheel impact load detector, wheel impact load detecr
7378,1262.0738525390625,i want to learn rig automated lights,rig aumated lights
10811,1258.7130126953125,i want to learn to consult exhibition organisers, consult exhibition organisers
411,1256.173095703125,i want to learn to accounting department processes, accounting department processes
13452,1254.787841796875,i want to learn analyse health damaging behaviours,analyse health damaging behaviours
10780,1253.42919921875,i want to learn to legal department processes, legal department processes
11201,1253.310791015625,i want to learn to hunting truck detector, hunting truck detecr
3390,1252.3956298828125,i want to learn analyse insurance needs,analyse insurance needs
10125,1249.010498046875,i want to learn Samurai Web Testing Framework,Samurai Web Testing Framework
10967,1245.41015625,i want to learn to tend hoist cement transfer equipment, tend hoist cement transfer equipment
2401,1238.60302734375,i want to learn to tend prepared animal feeds equipment, tend prepared animal feeds equipment
499,1238.5439453125,i want to learn to tend almond huller machine, tend almond huller machine
4438,1238.1123046875,i want to learn commission evaluation ,commission evaluation 
3364,1224.77001953125,i want to learn to sophrology, sophrology
12747,1223.7432861328125,i want to learn to mechanical mine machinery manuals, mechanical mine machinery manuals
8510,1222.685791015625,i want to learn to tend hot rolling mill, tend hot rolling mill
1615,1221.2325439453125,i want to learn to coordinate activities across hospitality rooms division, coordinate activities across hospitality rooms division
7231,1220.2493896484375,i want to learn to tend punch press, tend punch press
7790,1218.509765625,i want to learn analyse latex samples,analyse latex samples
6969,1211.172607421875,i want to learn to pipeline coating properties, pipeline coating properties
3169,1207.2069091796875,i want to learn to tobacco manufacturing regulations, bacco manufacturing regulations
1963,1206.5577392578125,i want to learn inheritance council practices,inheritance council practices
8065,1201.80224609375,i want to learn monitor workload,monir workload
11715,1199.8690185546875,i want to learn to domotic systems, domotic systems
9846,1187.8682861328125,i want to learn document museum collection,document museum collection
12397,1184.926513671875,i want to learn inject liquid foam,inject liquid foam
8745,1183.9432373046875,i want to learn to prepare emergency treework operations, prepare emergency treework operations
1790,1183.7218017578125,i want to learn to select soap shaping plate, select soap shaping plate
8392,1182.2022705078125,i want to learn analyse transport studies,analyse transport studies
9706,1181.3541259765625,i want to learn to monitor railway vehicles documentation, monir railway vehicles documentation
9847,1168.8800048828125,i want to learn to blood product storage conditions, blood product srage conditions
6098,1163.8961181640625,i want to learn to prepare well formation evaluation programmes, prepare well formation evaluation programmes
6227,1162.747802734375,i want to learn to develop dealership forecasts, develop dealership forecasts
5350,1162.22900390625,i want to learn to check dangerous goods transport unit, check dangerous goods transport unit
975,1160.729248046875,i want to learn to non vessel operating common carrier regulations, non vessel operating common carrier regulations
220,1158.5770263671875,i want to learn to embargo regulations, embargo regulations
3809,1158.3980712890625,i want to learn to honey constituents, honey constituents
7575,1153.8148193359375,i want to learn to types of tile adhesive, types of tile adhesive
6827,1151.8621826171875,i want to learn to forecast occupancy demand, forecast occupancy demand
12817,1150.534912109375,i want to learn to implement fin fish feeding regimes, implement fin fish feeding regimes
403,1150.46142578125,i want to learn to tend tunnel kiln, tend tunnel kiln
12655,1150.36865234375,i want to learn drip candles,drip candles
3976,1150.0675048828125,i want to learn to product usage risks analysis, product usage risks analysis
1263,1149.693603515625,i want to learn to defence standard procedures, defence standard procedures
10612,1149.19921875,i want to learn to urban pollution implications, urban pollution implications
6083,1146.57080078125,i want to learn to global navigation satellite system performance parameters, global navigation satellite system performance parameters
3748,1142.5179443359375,i want to learn to saw off filament mandrel pins, saw off filament mandrel pins
7121,1140.244140625,i want to learn manipulate medical devices materials,manipulate medical devices materials
12799,1140.079833984375,i want to learn to diving vessels systems, diving vessels systems
13144,1139.8685302734375,i want to learn analyse tree population,analyse tree population
1686,1138.90087890625,i want to learn to evaluate cultural venue programmes, evaluate cultural venue programmes
4905,1136.1746826171875,i want to learn to set auction listing agreement, set auction listing agreement
9903,1129.748046875,i want to learn to cold drawing processes, cold drawing processes
2914,1129.468994140625,i want to learn to tend deinking tank, tend deinking tank
13615,1128.8184814453125,i want to learn to goods transported from warehouse facilities, goods transported from warehouse facilities
11472,1127.3785400390625,i want to learn to evaluate cultural venue visitor needs, evaluate cultural venue visir needs
4511,1127.0184326171875,i want to learn to tend acidulation tanks, tend acidulation tanks
13681,1126.557373046875,i want to learn to develop natural areas works programmes, develop natural areas works programmes
11702,1122.1968994140625,i want to learn to dispose prepared animal feeds waste, dispose prepared animal feeds waste
1852,1117.0242919921875,i want to learn to plan aquatic resources feeding regimes, plan aquatic resources feeding regimes
10135,1106.551513671875,i want to learn to degum liquids, degum liquids
9942,1106.0218505859375,i want to learn to smooth burred surfaces, smooth burred surfaces
3716,1105.91845703125,i want to learn to diving operation requirements, diving operation requirements
3,1102.032958984375,i want to learn control compliance of railway vehicles regulations,control compliance of railway vehicles regulations
8653,1101.173095703125,i want to learn to prepare legislation proposition, prepare legislation proposition
3846,1100.810302734375,i want to learn to work from suspended access cradle, work from suspended access cradle
5071,1098.5654296875,i want to learn to tend mixing oil machine, tend mixing oil machine
5169,1094.3013916015625,i want to learn disarm land mine,disarm land mine
11753,1094.201171875,i want to learn mark stone workpieces,mark sne workpieces
8540,1091.5595703125,i want to learn strip wire,strip wire
2581,1091.23583984375,i want to learn place carpet,place carpet
5687,1090.9002685546875,i want to learn mould vinyl records,mould vinyl records
3419,1089.0023193359375,i want to learn to tend deburring machine, tend deburring machine
2620,1086.729248046875,i want to learn to transportation sector policies, transportation secr policies
12355,1085.4981689453125,i want to learn analyse insurance risk,analyse insurance risk
9260,1085.4862060546875,i want to learn analyse stress resistance of materials,analyse stress resistance of materials
7710,1084.1087646484375,i want to learn lead board meetings,lead board meetings
7522,1083.9588623046875,i want to learn to adapt designers’ work to the performance venue, adapt designers’ work  the performance venue
5388,1082.5982666015625,i want to learn analyse transportation costs,analyse transportation costs
1337,1080.507568359375,i want to learn to circus aesthetics, circus aesthetics
5468,1080.087646484375,i want to learn to weigh leaf quantity per cigar, weigh leaf quantity per cigar
2184,1079.36474609375,i want to learn to allergic cosmetics reactions, allergic cosmetics reactions
12000,1079.0843505859375,i want to learn to present decorative drink displays, present decorative drink displays
4280,1077.8809814453125,i want to learn to prepare aquatic inventory reports, prepare aquatic invenry reports
2392,1077.2412109375,i want to learn to expand store regional presence, expand sre regional presence
12173,1076.8319091796875,i want to learn to feed soap chips machine, feed soap chips machine
13241,1076.450439453125,i want to learn to prospect new regional contracts, prospect new regional contracts
13552,1075.8773193359375,i want to learn to obtain stage weapon permits, obtain stage weapon permits
7938,1075.78857421875,i want to learn to pipeline transport regulations, pipeline transport regulations
4235,1064.22705078125,i want to learn to prepare extraction proposals, prepare extraction proposals
2266,1064.1270751953125,i want to learn to prepare exhibition marketing plan, prepare exhibition marketing plan
8983,1062.853271484375,i want to learn to types of upsetting machines, types of upsetting machines
1723,1061.8861083984375,i want to learn to types of concrete pumps, types of concrete pumps
12986,1058.0146484375,i want to learn Nexpose,Nexpose
13597,1057.5440673828125,i want to learn to ensure ambulance roadworthiness, ensure ambulance roadworthiness
630,1053.6949462890625,i want to learn to swaging processes, swaging processes
7854,1049.252685546875,i want to learn to coordinate assembling room in footwear manufacturing, coordinate assembling room in footwear manufacturing
3433,1048.7919921875,i want to learn to casino policies, casino policies
9454,1047.1195068359375,i want to learn to tourism sector policies, urism secr policies
3844,1046.13525390625,i want to learn to dental instrument components, dental instrument components
8756,1044.715576171875,i want to learn to leasing process, leasing process
104,1044.4356689453125,i want to learn to contamination exposure regulations, contamination exposure regulations
12784,1043.495361328125,i want to learn to tend counterblow machine, tend counterblow machine
297,1043.1943359375,i want to learn to electrical mine machinery manuals, electrical mine machinery manuals
12402,1042.7486572265625,i want to learn to forest ecology, forest ecology
5701,1042.229736328125,i want to learn to genetic selection programme, genetic selection programme
11295,1040.61279296875,i want to learn analyse curriculum,analyse curriculum
7160,1040.576171875,i want to learn to coordinate mouldmaking shifts, coordinate mouldmaking shifts
6338,1038.717529296875,i want to learn to nuclear legislation, nuclear legislation
3165,1038.20947265625,i want to learn to control trade commercial documentation, control trade commercial documentation
4903,1035.88525390625,i want to learn to lottery equipment, lottery equipment
6758,1034.4385986328125,i want to learn to machinery load capacity, machinery load capacity
4792,1034.059814453125,i want to learn to tend tube drawing machine, tend tube drawing machine
1460,1031.9541015625,i want to learn to prepare copper gas-lines pipes , prepare copper gas-lines pipes 
7267,1031.6318359375,i want to learn management department processes,management department processes
3928,1030.5167236328125,i want to learn to process commissioned instructions, process commissioned instructions
9056,1029.8193359375,i want to learn analyse marketplace competition in rental industry,analyse marketplace competition in rental industry
3816,1024.296875,i want to learn to mining sector policies, mining secr policies
10492,1024.14111328125,i want to learn to museum databases, museum databases
4064,1023.7930297851562,i want to learn to age furniture artificially, age furniture artificially
9101,1023.3961791992188,i want to learn analyse ship operations,analyse ship operations
3706,1022.8605346679688,i want to learn OpenEdge Database,OpenEdge Database
12516,1022.4342651367188,i want to learn WhiteHat Sentinel,WhiteHat Sentinel
6581,1021.37744140625,i want to learn to develop travel charter programme, develop travel charter programme
11455,1019.9893188476562,i want to learn to determine footwear warehouse layout, determine footwear warehouse layout
7851,1018.0136108398438,i want to learn to metal hot rolling technology, metal hot rolling technology
13381,1017.1829833984375,i want to learn to table grapes manipulation, table grapes manipulation
554,1015.7831420898438,i want to learn to pharmaceutical legislation, pharmaceutical legislation
4249,1014.6406860351562,i want to learn to operations department processes, operations department processes
1507,1014.4235229492188,i want to learn to creation of clinical psychological opinions, creation of clinical psychological opinions
5448,1014.2908935546875,i want to learn attend performances,attend performances
2753,1011.619873046875,i want to learn to perform customers’ needs analysis, perform cusmers’ needs analysis
6133,1011.4390258789062,i want to learn to outsourcing strategy, outsourcing strategy
1365,1010.4532470703125,i want to learn mark lumber,mark lumber
8791,1010.1969604492188,i want to learn to compile reservoir performance plans, compile reservoir performance plans
4664,1010.1227416992188,i want to learn to tend stone splitting machine, tend sne splitting machine
10872,1009.6777954101562,i want to learn spray test panel,spray test panel
7714,1008.1474609375,i want to learn to Ajax Framework, Ajax Framework
5571,1008.1397705078125,i want to learn to dietary regimes, dietary regimes
7601,1007.342041015625,i want to learn to tend compressor engine, tend compressor engine
13384,1006.2412719726562,i want to learn to types of forging press, types of forging press
12316,1005.4685668945312,i want to learn to leather colour chemistry, leather colour chemistry
6220,1004.7371826171875,i want to learn to Prince2 project management, Prince2 project management
3919,1004.5441284179688,i want to learn to coordinate finishing room in footwear manufacturing, coordinate finishing room in footwear manufacturing
6007,1001.1336669921875,i want to learn to establish draft annual schedules for vessels, establish draft annual schedules for vessels
11583,1000.9990844726562,i want to learn to assess equid footcare requirements, assess equid footcare requirements
2721,1000.384521484375,i want to learn to bring out performers’ artistic potential, bring out performers’ artistic potential
5245,998.746337890625,i want to learn write meeting reports,write meeting reports
7285,997.227294921875,i want to learn to upsetting machine parts, upsetting machine parts
7035,993.0965576171875,i want to learn to inspect airside area facilities, inspect airside area facilities
12196,991.5119018554688,i want to learn to transport allocated patients, transport allocated patients
12105,991.167236328125,i want to learn to participant observation, participant observation
4134,991.0548095703125,i want to learn to install temporary audience accommodation, install temporary audience accommodation
7260,990.6149291992188,i want to learn to marketing department processes, marketing department processes
9007,990.125732421875,i want to learn to tend textile finishing machines, tend textile finishing machines
9519,988.9852294921875,i want to learn to maintain ambulance room stock, maintain ambulance room sck
13622,988.4906616210938,i want to learn facilitate motor skill activities,facilitate mor skill activities
8085,982.2059326171875,i want to learn review unpublished articles,review unpublished articles
2733,981.4264526367188,i want to learn to textile industry machinery products, textile industry machinery products
5446,981.1724243164062,i want to learn analyse stress resistance of products,analyse stress resistance of products
12365,980.9965209960938,i want to learn financial jurisdiction,financial jurisdiction
13066,980.2408447265625,i want to learn to monitor title procedures, monir title procedures
7390,979.8955078125,i want to learn roast malt,roast malt
1467,979.0800170898438,i want to learn to arrange surgery operating site, arrange surgery operating site
2688,977.9000244140625,i want to learn to metal joining technologies, metal joining technologies
1218,975.963134765625,i want to learn to perform tram equipment checks, perform tram equipment checks
5692,973.4662475585938,i want to learn to types of boring heads, types of boring heads
6340,973.35205078125,i want to learn to types of rotating equipment, types of rotating equipment
13212,972.1303100585938,i want to learn to assist disable passengers, assist disable passengers
12435,971.1332397460938,i want to learn to food dehydration processes, food dehydration processes
4437,969.8754272460938,i want to learn to prepare optical laboratory activities, prepare optical laborary activities
6622,968.8562622070312,i want to learn to follow airport snow control plan, follow airport snow control plan
5824,967.5382080078125,i want to learn to types of spa, types of spa
973,967.2162475585938,i want to learn to monitor rail pickup machine, monir rail pickup machine
7451,967.0386352539062,i want to learn analyse clothing 3d prototypes,analyse clothing 3d protypes
8904,962.7758178710938,i want to learn to coating substances, coating substances
12829,961.5682373046875,i want to learn to livestock selection principles, livesck selection principles
13467,959.5794677734375,i want to learn to tend grinding mill machine, tend grinding mill machine
4723,959.4970703125,i want to learn to present legislation proposition, present legislation proposition
9400,957.058837890625,i want to learn to chase threaded hole, chase threaded hole
7681,956.6956787109375,i want to learn to solicit event publicity, solicit event publicity
7342,954.5567626953125,i want to learn to manage ICT legacy implication, manage ICT legacy implication
9600,953.6058959960938,i want to learn to kinesitherapy, kinesitherapy
8141,950.0131225585938,i want to learn to watering principles, watering principles
12911,949.9325561523438,i want to learn to kindergarten school procedures, kindergarten school procedures
8301,949.8876953125,i want to learn to negotiate tourism experience purchases, negotiate urism experience purchases
7018,949.416748046875,i want to learn to drying methods, drying methods
5751,947.8123168945312,i want to learn to process arisings from treework operations, process arisings from treework operations
12647,947.7833862304688,i want to learn jell fruits,jell fruits
6398,947.4065551757812,i want to learn to task algorithmisation, task algorithmisation
10405,946.5165405273438,i want to learn to cure composite workpiece, cure composite workpiece
6043,945.0697631835938,i want to learn to apply Freinet teaching strategies, apply Freinet teaching strategies
8406,944.9503784179688,i want to learn to operate vibratory pile hammer, operate vibrary pile hammer
5260,944.0648803710938,i want to learn to types of fibre for polymer reinforcement, types of fibre for polymer reinforcement
12608,943.9537353515625,i want to learn manufacture weft knitted fabrics,manufacture weft knitted fabrics
1581,943.5824584960938,i want to learn to maintain hydraulic forging press, maintain hydraulic forging press
3287,943.1029052734375,i want to learn to blockchain openness, blockchain openness
7155,942.3876953125,i want to learn to pest biology, pest biology
4575,942.3836669921875,i want to learn analyse ecological data,analyse ecological data
13892,939.373291015625,i want to learn to install transport equipment lighting, install transport equipment lighting
10209,937.986572265625,i want to learn analyse route possibilities in pipeline projects,analyse route possibilities in pipeline projects
10993,936.1671752929688,i want to learn to drinks service operations, drinks service operations
12407,933.7293701171875,i want to learn to tend dip tank, tend dip tank
2230,933.2784423828125,i want to learn to asylum systems, asylum systems
12779,933.1738891601562,i want to learn to footwear components, footwear components
4452,932.7628784179688,i want to learn to coffee grinding levels, coffee grinding levels
4270,932.544921875,i want to learn to tend bar drawing machine, tend bar drawing machine
245,932.3857421875,i want to learn to continuous improvement philosophies, continuous improvement philosophies
9962,930.9823608398438,i want to learn to geological factors in airport construction, geological facrs in airport construction
1381,929.6949462890625,i want to learn tram network,tram network
13717,929.5831909179688,i want to learn kinanthropometry,kinanthropometry
4230,928.2194213867188,i want to learn contextualise records collection,contextualise records collection
2909,928.001220703125,i want to learn refurbish facilities,refurbish facilities
8978,927.6539306640625,i want to learn to promote evaluation capacity development, promote evaluation capacity development
13350,926.1697998046875,i want to learn to inspect tidal stream generators, inspect tidal stream generars
318,925.3195190429688,i want to learn monitor tank thermometer,monir tank thermometer
10665,923.961181640625,i want to learn to tend computer numerical control lathe machine, tend computer numerical control lathe machine
2171,922.3223266601562,i want to learn to compile detailed collection inventory, compile detailed collection invenry
2675,920.7048950195312,i want to learn to create casting breakdown notices, create casting breakdown notices
6531,920.27685546875,i want to learn mount control panel components,mount control panel components
10559,920.2505493164062,i want to learn to footwear stitching techniques, footwear stitching techniques
12212,920.16015625,i want to learn to claims procedures, claims procedures
13605,919.6369018554688,i want to learn ICT process quality models,ICT process quality models
9557,919.3829956054688,i want to learn to assist multimedia operator, assist multimedia operar
2059,919.0599365234375,i want to learn to evaluate humanitarian programme proposals, evaluate humanitarian programme proposals
11254,918.1659545898438,i want to learn to tend V-belt covering machine, tend V-belt covering machine
6301,917.0751953125,i want to learn to coordinate closing room in footwear manufacturing, coordinate closing room in footwear manufacturing
11602,917.0589599609375,i want to learn to psychological treatment measures, psychological treatment measures
6441,917.0008544921875,i want to learn to driving examinations, driving examinations
10242,916.767333984375,i want to learn to ensure diving operations conform with plan, ensure diving operations conform with plan
3012,916.2730712890625,i want to learn to leather physical testing, leather physical testing
2082,915.8563232421875,i want to learn to road signage standards, road signage standards
6066,915.7034912109375,i want to learn to collect briefing regarding products, collect briefing regarding products
6704,914.9453735351562,i want to learn subsidiary operations,subsidiary operations
7525,914.3308715820312,i want to learn to pharmaceutical manufacturing quality systems, pharmaceutical manufacturing quality systems
6393,913.1753540039062,i want to learn to leather finishing technologies, leather finishing technologies
13308,911.4161376953125,i want to learn buff finished paintwork,buff finished paintwork
10386,908.7481079101562,i want to learn to preset miniature sets, preset miniature sets
13505,908.550537109375,i want to learn to asphalt mixes, asphalt mixes
9379,906.4168090820312,i want to learn to minerals prices, minerals prices
4742,904.996337890625,i want to learn to circus vocabulary, circus vocabulary
4953,904.6598510742188,i want to learn to connect cylinders lines, connect cylinders lines
7516,904.644287109375,i want to learn to core apples, core apples
9523,904.2854614257812,i want to learn to advertise sport venue, advertise sport venue
1294,903.3433837890625,i want to learn dimension stone,dimension sne
7652,902.6948852539062,i want to learn to furniture wood types, furniture wood types
3619,902.5713500976562,i want to learn to medication classification, medication classification
11655,902.5399780273438,i want to learn ICT network cable limitations,ICT network cable limitations
13446,902.5201416015625,i want to learn to ramp safety requirements, ramp safety requirements
470,901.9411010742188,i want to learn to swaging machine types, swaging machine types
8191,901.4801025390625,i want to learn to feed fertilizer mixer, feed fertilizer mixer
3430,899.8224487304688,i want to learn control kiln firing,control kiln firing
12282,898.0526123046875,i want to learn to develop artistic coaching programme, develop artistic coaching programme
6217,898.0170288085938,i want to learn to cultural practices regarding animal parts sorting, cultural practices regarding animal parts sorting
3351,897.9151000976562,i want to learn to investigate mine accidents, investigate mine accidents
4643,897.3467407226562,i want to learn to admit basic metals to furnace, admit basic metals  furnace
11308,896.451171875,i want to learn to check cured rubber, check cured rubber
3822,893.803955078125,i want to learn to revise certifications for dangerous good transportation, revise certifications for dangerous good transportation
11724,893.3578491210938,i want to learn to national waterways, national waterways
9230,892.6160888671875,i want to learn to monitor extraction logging operations, monir extraction logging operations
793,892.5424194335938,i want to learn to direct rigging equipment operators, direct rigging equipment operars
4754,892.2615356445312,i want to learn to feed pulp mixing vat, feed pulp mixing vat
6231,891.7894897460938,i want to learn to monitor coating specifications, monir coating specifications
13671,891.632568359375,i want to learn to types of drill press oils, types of drill press oils
2765,889.91064453125,i want to learn to characteristics of wheel rail interface, characteristics of wheel rail interface
5172,888.0416259765625,i want to learn vojta therapy,vojta therapy
4543,886.3300170898438,i want to learn to tend soap flake machinery, tend soap flake machinery
11216,884.806884765625,i want to learn to determine shreds sizes percentage in cigarettes, determine shreds sizes percentage in cigarettes
10747,884.4930419921875,i want to learn to maintain footwear assembling equipment, maintain footwear assembling equipment
1128,883.6343383789062,i want to learn IBM InfoSphere DataStage,IBM InfoSphere DataStage
7108,882.3299560546875,i want to learn to tend paint mixer, tend paint mixer
11048,881.7638549804688,i want to learn analyse blood patterns,analyse blood patterns
717,881.6183471679688,i want to learn to process customer requests based on the REACh Regulation 1907 2006, process cusmer requests based on the REACh Regulation 1907 2006
2195,881.4906005859375,i want to learn analyse score,analyse score
