Level 2	alternative_names_clean
AWS Certified Solutions Architect - Associate	AWS Solutions Architect - Associate, AWS Certified Architect - Associate, AWS Architect Certification, Amazon Web Services Solutions Architect - Associate, Certified AWS Solutions Architect, AWS Solution Architecture Certification, Amazon Cloud Architect - Associate Level, AWS Certified Cloud Architect - Associate, Associate-level AWS Solutions Architect Certification, AWS Solution Design Professional, AWS
AWS DevOps Engineer	AWS Certified DevOps Engineer, Amazon Web Services DevOps Certification, AWS Certified DevOps Professional,  Certified AWS DevOps Specialist, AWS Cloud DevOps Engineer Certification, Amazon Web Services Certified DevOps Practitioner, AWS Certified Cloud Practitioner (DevOps), AWS
AWS SysOps Administrator	AWS SysOps Specialist, Amazon SysOps Administrator, AWS Systems Operations Engineer, Certified AWS SysOps Professional, AWS SysOps Architect, Amazon Web Services SysOps Expert, AWS Cloud Operations Engineer, AWS Systems Administrator, AWS OpsWorks Administrator, Certified Cloud Operations Specialist, AWS
AWS Developer	AWS Certified Developer, Amazon Web Services Developer, AWS Dev Associate, AWS Cloud Developer, Certified AWS Application Developer, AWS Software Engineer, AWS Programming Expert, AWS Application Development Specialist, Amazon Developer Certification, AWS Development Engineer, AWS
AWS Cloud Practitioner	AWS Cloud Fundamentals, Amazon Cloud Practitioner, AWS Cloud Essentials, Certified Cloud Practitioner, AWS Cloud Foundation, Amazon Web Services Cloud Associate, AWS Cloud Basics, AWS Cloud Introduction, AWS Cloud Entry Level Certification, AWS
Apple Certified Support Professional (ACSP) – macOS	Apple Certified Support Professional for macOS, ACSP - macOS Support, Apple Certified macOS Support Specialist, ACSP (macOS), Apple Mac Support Professional, macOS Certified Support Professional, Mac Certified Support Professional (ACSP), Apple Certified Support Specialist - macOS, ACSP for Mac OS X, Apple macOS Technical Support Certification, ACSP
Apple Certified Support Essentials 10.14 – macOS	Apple Certified Support Specialist, macOS Support Essentials Certification, Apple Certified Mac Technician (ACMT), Mac Support Expert, Apple Certified Technical Coordinator (ACTC), macOS Troubleshooting Certification, Apple Helpdesk Professional Certification, Certified Mac Support Engineer, Apple Certified Associate - Mac Integration 10.14, macOS Deployment Specialist
Apple Certified Pro (for Final Cut Pro X and Logic Pro X)	Apple Pro Certification, Apple Certified Pro for Final Cut Pro and Logic Pro, Certified Apple Pro for Final Cut Pro X and Logic Pro X, Apple FCPX and LPX Certified Professional, Apple Video Editing and Audio Production Certification, Apple Final Cut and Logic Pro Certified Specialist, ACFCPXLPX (Abbreviation), Apple Creative Software Professional Certification, Apple Media Production Expert Certification, Certified Specialist in Final Cut Pro X and Logic Pro X, for Final Cut Pro X and Logic Pro X
AppleCare Service Certifications – ACMT & ACiT	Apple Service Certifications, Apple Certified Mac Technician (ACMT), Apple Certified iOS Technician (ACiT), ACMT & ACiT Certifications, AppleCare Technical Certifications, Apple Product Service Training and Certification, Apple Service Specialist Certifications, ACMT & ACiT Training and Certification, Apple Repair Technician Certifications, Authorized Apple Service Provider Certifications
Cisco Certified Technicians (CCT)	Cisco Certified Technicians, CCT Certification, Cisco Technician Certification, Cisco CCT, Certified Cisco Technician, Cisco Technical Certification, CCT Credential, Cisco Tech Certified, CCNA Technician Certification, Cisco Networking Technician, CCT
Cisco Certified Entry Networking Technician (CCENT)	CCENT Certification, Cisco Entry-Level Certification, CCENT Networking Technician, Cisco Certified Entry-Level Network Technician, CCENT Certified Professional, Cisco Networking Technician Certification, CCENT Network Specialist, Cisco Entry-Level Networking Engineer, CCENT Certified Associate, Cisco Network Technician, CCENT
Cisco Certified Network Associate (CCNA)	CCNA Certification, Cisco CCNA, CCNA Certified, Cisco Network Associate, CCNA Professional, Cisco Networking Certification, CCNA Exam, Cisco Network Associate Certification, CCNA Credential, Cisco Certified Network Associate, CCNA
Cisco Certified Network Professional (CCNP)	CCNP, Cisco CCNP, Certified Network Professional, Cisco Certified Network Professional, Cisco Networking Professional, CCNP Certification, Cisco CCNP Certified, Network Professional Certification, CCNP Designation, Cisco Networking Pro, CCNP
Cisco Certified Architect (CCAr)	CCAr Certification, Cisco Certified Architect, Cisco Architecture Expert, Cisco Architecture Professional, CCAr Program, Cisco Certified Architect Credential, CCAr Accreditation, Cisco Architecture Certification, CCAr Designation, Cisco Enterprise Architect, CCAr
Citrix Certified Expert – Virtualization (CCE-V)	Citrix Virtualization Expert, CCE-V Certification, Citrix Certified Virtualization Specialist, Virtualization (CCE-V) Certified Professional, Citrix VDI Expert, Citrix Certified Virtualization Engineer, CCE-V Accreditation, Citrix Virtualization Architect, Advanced Citrix Virtualization Certification, CCE-V Credential, CCE-V
Citrix Certified Professional – Virtualization (CCP-V)	Citrix Virtualization Expert, Certified Citrix Virtualization Professional, CCP-V Certified Specialist, Citrix VDI Certified Professional, Citrix XenDesktop and XenApp Certified Expert, Citrix Virtual Apps and Desktops Administrator, Citrix Certified Virtualization Engineer, CCP-V Certification Holder, Citrix Virtualization Solutions Architect, Certified Professional in Citrix Virtualized Environments, CCP-V
Citrix Certified Associate – Virtualization (CCA-V)	CCA-V, Citrix Virtualization Associate, Citrix Certified Virtualization Professional, Citrix Virtualization Specialist, Certified Citrix Virtualization Administrator, CCA-V Certification, Citrix VDI Certification, Citrix XenApp/XenDesktop Certification, Citrix Desktop Virtualization Associate, Certified Virtualization Engineer, CCA-V
Citrix Certified Professional – Networking (CCP-N)	Citrix Networking Expert, Citrix Certified Network Professional, CCP-N Certified, Citrix Networking Specialist, Networking Professional (CCP-N), Citrix Network Engineer Certification, Certified Citrix Networking Associate, CCP-N Accredited Professional, Citrix Networking Architect Certification, CCNP (Citrix Certified Networking Professional), CCP-N
Citrix Certified Associate – Networking (CCA-N)	Citrix CCA-N, Citrix Networking Associate, Certified Networking Professional by Citrix, Citrix Certified Network Associate, CCA-N Certification, Citrix Network Specialist, Citrix Networking Expert, Citrix Certified Networking Engineer (CCNE), CCNA - Citrix Certified Associate in Networking, Citrix Network Administration Certification, CCA-N
Citrix NetScaler SD-WAN Certified (CC-SDWAN)	Citrix SD-WAN Certified, CC-SDWAN Certification, Citrix NetScaler SDWAN Certification, CC-SDWAN Certified Professional, Citrix SD-WAN Specialist, NetScaler SD-WAN Certification, Citrix Certified SDWAN Engineer, CC-SDWAN Exam, Citrix SD-WAN Accreditation, NetScaler SD-WAN Certified Expert, CC-SDWAN
Citrix Certified Professional – Mobility (CCP-M)	Citrix Mobility Certified Professional, CCP-M Certification, Citrix Mobility Expert, Certified Citrix Mobility Specialist, Citrix CCP-M Professional, Citrix Certified Mobility Engineer, CCP-M Credential, Citrix Mobility Practitioner, Certified CCP-M Consultant, Citrix XenMobile Certified Professional, CCP-M
Check Point Certified Security Administrator (CCSA) R80	CCSA R80, Check Point Security Administrator (CCSA) Certification, Check Point Certified Administrator R80, CCSA-Check Point Certified Security Administrator R80, Checkpoint CCSA R80 certification, Certified Security Administrator (CCSA) - R80, CCSA-R80 Certification by Check Point Software Technologies, Checkpoint Security Administrator (CCSA) Certification - R80 version, CCSA-R80 certified professional, Check Point R80 Certified Security Administrator, CCSA
Check Point Certified Expert (CCSE) R80	CCSE R80 Certified, Check Point Security Expert R80, Check Point Certified Security Engineer (R80), CCSE Certification (R80), Check Point Expert (CCSE) in R80, Certified Expert in Check Point Security Engineering (R80), CCSE R80 Accreditation, Check Point R80 Security Engineering Expert, Check Point Certified Expert - Security Engineering (R80), CCSE R80 Professional, CCSE
Check Point Certified Security Master (CCSM) R80	Check Point CCSM R80, Check Point Certified Security Master R80, CCSM R80 Certification, Check Point Security Master (CCSM) R80, Certified Security Master (CCSM) R80 by Check Point, Checkpoint CCSM R80 Certification, Check Point CCSM R-80, CCSM (R80) by Check Point Certified Security Master, Checkpoint Certified Security Master (CCSM) for Release 80, CCSM
A+	A Plus, CompTIA A Plus, A Plus Certified, Comp TIA A Plus, PC Technician Certification
Project+	Project Management+, CompTIA Project Plus, Project Management Professional+, PMP+, Project Manager Certification, CAPM Certified, PRINCE2 Practitioner, Agile Project Manager
Server+	Server Plus, Certified Server Administrator, Server Technician Certification, CompTIA Server Professional, CompTIA Certified Server Specialist, Server Support Certification, Advanced Server Administration Credential, Server Infrastructure Expertise, CompTIA Certified Server Engineer
Certified Technical Trainer (CTT+)	Certified Trainer, CTT Certified, Technical Trainer Certification, CTT Plus, Certified IT Trainer, Training and Development Professional (CTT+), Certified Instructor, Accredited Trainer, Certified Training Specialist (CTS+), Qualified Technical Educator, CTT+
Linux+	CompTIA Linux Plus, LXP certification, Linux Professional+, CompTIA LX0-103/LX0-104, Linux Plus certified, LX0-103/LX0-104 certification
Cloud+	Cloud Plus, Cloud Computing+, Cloud Professional+, Certified Cloud Administrator, Cloud Infrastructure Specialist, CompTIA CLO-002, Cloud Technology Expert, Advanced Cloud Certification, CompTIA CC+
CloudEssentials+	CompTIA Cloud+, Cloud Essentials Plus, Cloud Essentials+ Specialist, CompTIA CE+, CompTIA CE Plus, CE+ Certified
PenTest+	Penetration Testing+, PT+, Certified Penetration Tester, Penetration Testing Professional, Cybersecurity PenTest Certification, CompTIA PT+, Offensive Security Certification, Ethical Hacking and Penetration Testing Certification, Network Security Assessment Certification
CASP+	CompTIA Advanced Security Practitioner, CASP Plus, CASP Professional, Certified Advanced Security Practitioner, CASP Certification, CompTIA Advanced Security+, CASP Accreditation, CASP Exam, CompTIA CASP
Network+	Network Plus, Network Professional, Certified Network Technician, Networking+, Network Administrator Certification, Network Expert, CompTIA N+, Networking Specialist
ITF+	IT Fundamentals+, IT Fundamentals Plus, ITF Plus Certification, Entry Level IT Certification, Basic IT Skills Certification, Foundations of IT Certification, CompTIA Foundation Certification, Introduction to IT Certification, Beginner's IT Certification
CySA+	Cybersecurity Analyst+, CySA Plus, Cybersecurity Analyst Plus, CompTIA Cybersecurity Analyst+, CSA+, Cybersecurity Specialist Certification, Certified Security Analyst, CompTIA Security Analytics Professional, CSAP
Data+	Data Analyst+, Data Analytics Certified, Data Professional Plus, Certified in Data Analysis, Advanced Data Analyst Certification, Data Mastery+, Accredited in Data Analytics, Certified Data Practitioner
DataSys+	Data Systems Plus, DataSys Plus Certification, Certified DataSys Specialist, Data Systems Analyst+, Data Management Systems+, Data Administration and System Integration+, Certified Data Architecture Professional
EMCISA	EMC Information Storage and Management, EMC Information Storage Associate, EMC ISA, EMC Storage Certification, EMC Data Storage Associate, EMC Storage Specialist, EMC Information Management Certification
EMCDS	EMC Data Science Certification, EMC Data Scientist, Certified EMC Data Science Specialist, EMC Data Science Engineer, EMC Data Analytics Certification
VCE-CIA	VCE Certified Implementation Architect, VCE CIA Certification, Certified VCE Implementation Architect, VCE CIA Professional, Vblock CIA Certification, Converged Infrastructure Architect (CIA), VxBlock CIA Specialist, Certified VxBlock Implementation Architect
GSEC: GIAC Security Essentials	 Global Information Assurance Certification - Security Essentials, Certified GSEC Professional, GSEC
GCIH: GIAC Certified Incident Handler	 GIAC Certified IH, Incident Handling Certification, GIAC IH Specialist, GCIH Certified Professional, GIAC Certified Security Analyst (GCIH), GCIH - Incident Response Certification, GIAC GCIH
GCIA: GIAC Certified Intrusion Analyst	GIAC Certified Intrusion Analyst, GCIA Certification, Intrusion Analyst Certification, GIAC GCIA, Certified Intrusion Analyst, Network Intrusion Analyst Certification, Cybersecurity GCIA Certification, GIAC-IA Certification, Intrusion Detection Expert Certification, Certified Network Security Analyst
GCFA: GIAC Certified Forensic Analyst	 Digital Forensics Certification, GCFA - Advanced Digital Forensics Certification, Certified Professional in Digital and Mobile Forensics (GCFA)
GPEN: GIAC Penetration Tester	 Security Certification, GIAC GPEN Credential, Certified Penetration Tester (GPEN), GIAC Certified Ethical Hacker (GPEN), GPEN
GSLC: GIAC Security Leadership	 GIAC Security Leader, GIAC Security Leadership Professional, GSLC - Certified Information Security Manager (GSLC-CISM), GIAC GSLC Practitioner, Certified GIAC Security Leader (GSL), GIAC Information Security Leadership Certification
GREM: GIAC Reverse Engineering Malware	GIAC Reverse Engineering Malware Specialist, GREM Certification, GIAC REM Certified Professional, Reverse Engineering Malware Expert, GIAC REM Analyst, GREM Certified Engineer, Malware Reverse Engineer Certification, GIAC REM Practitioner, Certified GREM Specialist, GIAC REVERSE ENGINEERING MALWARE Credential
GSNA: GIAC Systems and Network Auditor	 Systems and Network Audit Specialist, GIAC Certified Systems and Network Auditor, GSNA Audit Certification, GIAC GNIA (Systems & Network)
GCED: GIAC Certified Enterprise Defender	 GIAC ED Certification, GIAC ED Certified - GCED, Enterprise Defender Certification - GCED, GCED
GCWN: GIAC Certified Windows Security Administrator	 GIAC Windows Admin Cert, Certified GCWN Professional, GIAC Certified Windows Admin, GCWN
GPPA: GIAC Certified Perimeter Protection Analyst	 GIAC CPPA Certification, GIAC CPPA Designation, Certified Perimeter Security Analyst, GIAC Certified Network Protector, GPPA
GPYC: GIAC Python Coder	 Python Coding Specialist, GIAC Certified Python Programmer, GPYC
GRID: GIAC Response and Industrial Defense	 GIAC RID Certification, GIAC GRID Defense Specialist, Industrial Defense Certified Professional (IDCP), GIAC Incident Response and Defense Certification, GRID
Google Cloud Certification – Associate Cloud Architect	Google Cloud Certified - Cloud Architect Associate, GCP Cloud Architect Certification, Google Associate Cloud Architect Certification, Google Cloud Architect - Associate Level, GCP Associate Cloud Architect Exam, Google Certified Professional - Cloud Architect (Associate), GCP Cloud Architecture Certification, Google Certified - Associate Level Cloud Architect, Associate-level Google Cloud Architecture Certification, GCP ACA Certification, GCP
Google Cloud Certification – Associate Cloud Developer	Associate Cloud Developer Certification, Google Cloud Associate Developer, GCP Associate Cloud Developer, Google Cloud Certified - Associate Cloud Developer, GCP Cloud Developer Certification, Google Associate Cloud Development Certification, Associate Level Google Cloud Developer Exam, GCP Certified - Associate Cloud Developer, Google Certified Associate - Cloud Development Engineer , GCDC Certification, GCP
Google Cloud Certification – Associate Data Engineer	Google Cloud Data Engineer, GCP Associate Data Engineer, Google Cloud Certified Data Engineer, Google Associate Data Engineering Certification, GCP Data Engineering Associate, GCCE - Associate Level Data Engineer, Google Cloud Platform Data Engineer Certification, Certified Google Cloud Associate for Data Engineering, GCP ACE - Associate Level Data Engineer, GCDP – Associate Level, GCP
Google Cloud Certification – Associate Cloud DevOps Engineer	 DevOps Engineering, GCP
Google Cloud Certification – Associate Cloud Security Engineer	GCP Associate Cloud Security Engineer, Google Certified Cloud Security Professional, Google Cloud Security Engineer Certification, GCP Cloud Security Specialist, Associate Cloud Security Engineer - GCP Certification, Google Cloud Certified Associate in Cloud Security Engineering, GCP ACE - Google Cloud Associate in Cloud Security Engineering, Google Associate Level Certification in Cloud security engineering, GCSE - Google Certified Secure Engineer for cloud platforms, GCP
Google Cloud Certification – Associate Cloud Network Engineer	Google Cloud Network Engineer Certification, GCP Associate Cloud Network Engineer, Google Associate Network Engineer Certification, Google Cloud Certified – Network Engineer, GCP Network Engineering Certification, Google Cloud Networking Specialist, GCP Cloud Networking Engineer Certification, Google Certified Associate - Cloud Network Engineer, Google Cloud Infrastructure and Networking Certification - Associate Level, GCP ACE (Associate Cloud Engineer) – Networking Specialization, GCP
Google Cloud Certification – Associate Collaboration Engineer	Google Cloud Collaboration Engineer Certification, GCP Associate Collaboration Engineer, Google Cloud Associate - Collaboration Engineer, Google Associate Collaboration Engineer, GCP Collaboration Engineer Certification, Google Cloud Collab Engineer Certification, GCP Collaborate Engineer Certificate, Google Certified Associate - Collaboration Engineer, GCP Assoc. Collaborative Engineering Cert., Google Cloud Collab Engineering Exam, GCP
Google Cloud Certification – Professional Cloud Architect	Google Cloud Architect Certification, Professional Cloud Architect Certification, GCP Cloud Architect Certification, Google Certified Cloud Architect, Certified Professional Cloud Architect, Google Cloud Platform Architect Certification, GCP Professional Cloud Architect Certification, Google Cloud Solutions Architect Certification, Google Certified Professional – Cloud Architecture, GCP PCA (Professional Cloud Architect), GCP
Google Cloud Certification – Professional Cloud Developer	Professional Cloud Developer Certification, Google Cloud Developer Certification, GCP Professional Cloud Developer, Certified Professional Cloud Developer - Google Cloud, Google Cloud Platform Developer Certification, GCP Cloud Developer Certification, Professional Level Cloud Developer - Google Cloud Platform, Professional Cloud Development Engineer - GCP Certification, Certified Google Cloud Application Developer, Google Certified Cloud Engineer (Developer), GCP
Google Cloud Certification – Professional Data Engineer	Google Cloud Data Engineer Certification, GCP Professional Data Engineer, Google Cloud Certified Data Engineer, GCP Data Engineering Certification, Google Cloud Pro Data Engineer, GCP Professional DE Certification, Google Cloud Data Engineering Exam, GCP DE Certification - Professional Level, Google Professional Data Engineering Certification, Google Cloud Certified - Data Engineering, GCP
Google Cloud Certification – Professional Cloud DevOps Engineer	Google Cloud DevOps Certification, Professional Cloud DevOps Engineer Certification, Google Cloud Certified DevOps Engineer, GCP DevOps Engineer Certification, Google Professional Cloud DevOps Engineer, GCP Cloud DevOps Certification, Certified Google Cloud DevOps Engineer, Professional GCP DevOps Engineer Certification, Google Cloud Platform DevOps Certification, GCPE – Professional Cloud DevOps Engineer, GCP
Google Cloud Certification – Professional Cloud Security Engineer	Professional Cloud Security Engineer (Google Cloud Certification), GCP Professional Cloud Security Engineer, Google Cloud Security Engineer Certification, Certified Professional Cloud Security Engineer (Google Cloud), GCP Cloud Security Engineer, Google Professional Cloud Security Engineering certification, GCP Certified Cloud Security Engineer, Google Certified Professional - Cloud Security Engineering, Google Professional Certification for Cloud Security Engineering, GCP PCSE Certification, GCP
Google Cloud Certification – Professional Cloud Network Engineer	Google Cloud Network Engineer Certification, Professional Cloud Network Engineer Certification, GCP Cloud Network Engineer Certification, Google Cloud Network Engineering Certification, GCP Professional Network Engineer Certificate, Certified Google Cloud Network Engineer, Professional Cloud Networking Engineer Certification, GCP Cloud Networking Engineer Certificate, Google Certified Professional - Cloud Networking Specialist, GCP CNSE Certification, GCP
Google Cloud Certification – Professional Collaboration Engineer	Google Collaboration Engineer Certification, GCP Collaboration Engineer Certification, Google Cloud Professional Collaboration Engineer, GCP Professional Collaboration Engineer Certification, Google Cloud Collab Engineer Certification, Google Professional Collaboration Engineer Certificate, GCP Collab Engineer Certification, Google Cloud Certified Collab Engineer, GCP Certified Collaboration Engineer, Google Cloud Pro Collab Engineer, GCP
Google Cloud Certification – G Suite	Google Cloud G Suite Certification, G Suite Certified Professional, Google Cloud - G Suite Certified, G Suite Administrator Certification, Google Cloud Collaboration Certification, G Suite Deployment Specialist, Google Cloud Productivity Certification, G Suite Integration Expertise, Google Cloud - G Suite Specialist, G Suite for Business Certified, GCP
IBM Certified Deployment Professional	IBM Deployment Professional, Certified IBM Deployment Expert, IBM Deployment Specialist, IBM Certified Deployment Engineer, IBM Deployment Architect, Certified IBM Deployment Consultant, IBM Cloud Deployment Professional, IBM Application Deployment Specialist, IBM Software Deployment Expert, Certified IBM Solution Deployer
IBM Certified Solution Designer	IBM Solution Designer, Certified IBM Solutions Architect, IBM Design Thinking Expert, IBM Solution Design Specialist, Certified IBM Application Designer, IBM Certified Design Professional, IBM Solution Engineering Specialist, IBM Solution Architect Certification, Certified IBM Design Consultant, IBM Certified Solution Developer
IBM Certified Specialist	IBM Certified Expert, IBM Specialist Certification, Certified IBM Specialist, IBM Certified Professional, IBM Specialist Accreditation, IBM Mastery Specialist, IBM Certified Associate, IBM Professional Certification, IBM Technical Specialist, Certified IBM Expert
IBM Certified Administrator	IBM Admin Certified, IBM Certified Admin, IBM Administrator Certification, IBM Admin Expert, Certified IBM System Administrator, IBM System Admin Certification, IBM Admin Specialist, IBM Certified Systems Administrator, IBM Server Administrator Certification
IBM Certified Developer	IBM Developer Certification, Certified IBM Developer, IBM Certified App Developer, IBM Software Developer Certification, IBM Developer Professional Certification, IBM Certified Application Engineer, IBM Certified Programming Specialist, IBM Application Development Certification, Certified IBM Software Engineer, Accredited IBM Development Professional
IBM Certified Designer	IBM Designer Certification, IBM Certified UI/UX Designer, IBM Certified Visual Designer, Certified Design Professional by IBM, IBM Design Expert, IBM Creative Design Certification, IBM Certified User Interface Designer, IBM Certified Graphic Designer, IBM Design Thinking Certification, Certified Digital Designer by IBM
IBM Certified Solution Expert	IBM Solution Expert, IBM Certified Expert, IBM Solution Specialist, Certified IBM Solution Consultant, IBM Certified Solutions Architect, IBM Solution Engineer, IBM Solutions Professional, IBM Expert Certification, IBM Solution Consultant Accreditation, Certifed IBM Solutions Specialist
IBM Certified System Administrator	IBM Certified Admin, IBM System Admin Certification, IBM SysAdmin Certified, Certified IBM System Administrator, IBM Server Administrator Certification, IBM System Admin Specialist, IBM System Admin Professional, IBM Certified SysAdmin, Certified System Administrator for IBM products, IBM Systems Administration Certification
Microsoft Technology Associate (MTA)	MTA Certification, Microsoft Technology Associate Certificate, MTA Certified Professional, Microsoft Technology Associate Program, MTA IT Certification, MTA Exam, MTA Training and Certification, Microsoft Certified MTA Specialist, Microsoft Technology Associate Credential, MTA Certified Practitioner, MTA
Microsoft Certified Solutions Associate (MCSA)	 Windows Server, Microsoft Solutions Associate, MCSA Windows 10, MCSA Office 365, Microsoft Certified Solutions Administrator, MCSA Server 2016, MCSA SQL Server, MCSA Azure, MCSA
Microsoft Certified Solutions Expert (MCSE)	Microsoft Certified Solutions Engineer, MCSE Certification, Microsoft Solutions Expert, MCSE Expert, Microsoft Certified Systems Engineer, MCSE Professional, MSCE Certification, Microsoft Certified Solutions Specialist (MCSS), MCSE Qualification, MSCE Exam, MCSE
Micro Focus Identity Manager Certification	Micro Focus IDM Certification, Micro Focus ID Manager Certification, Identity Manager Certification by Micro Focus, MFIDM Certification, Micro Focus Identity Management Certification, Micro Focus IDM Certified Professional, Micro Focus ID Manager Certified Specialist, MFIDM Certified Engineer, Identity Manager Certified Consultant (Micro Focus), Micro Focus IDM Expert
Micro Focus Open Enterprise Server Certification (OES)	Micro Focus OES Certification, Open Enterprise Server Certification, OES Certified Professional, Micro Focus Open Enterprise Server Specialist, OES Expert Certification, Micro Focus OES Accreditation, Micro Focus Open Enterprise Server Exam, Certified in Open Enterprise Server (OES), OES Certification Program, Micro Focus OES Qualified Professional, OES
Micro Focus ZENworks Certification	Micro Focus ZENworks Certified Administrator, ZENworks Certification, Micro Focus Endpoint Management Certification, ZCM Certification, ZENworks Certified Engineer, Micro Focus ZENworks Specialist, MFZC Certification, Micro Focus ZENworks Professional Certification, Certified in Micro Focus Endpoint Management, MF Endpoint Management Certified
Oracle CRM On Demand Certifications	Oracle CRM Certifications, Oracle On Demand CRM Certifications, Oracle Cloud CRM Certifications, Oracle Sales Cloud Certifications, Oracle Customer Experience (CX) Certifications, Oracle CX On Demand Certifications, Oracle CRM Specialist Certifications, Certified Oracle CRM Consultant, Oracle Sales and Service Cloud Certifications, Oracle Unified Customer Data Management (UCDM) Certifications
Oracle Cloud Certifications	Oracle Cloud Certified, Oracle Cloud Professional Certifications, Oracle Cloud Associate Certifications, Oracle Certified Cloud Expert, Oracle Cloud Specialist, Oracle Cloud Architect Certifications, Oracle Cloud Implementation Certifications, Oracle Cloud Administrator Certifications, Oracle Certified Expert in cloud technologies, Oracle Certified Professional -Cloud
Oracle Database Certifications	Oracle DB Certifications, Oracle Database Certified Professional, Oracle DB Specialist, Oracle Database Administrator Certification, Oracle Database Expert, Certified Oracle DBA, Oracle Database Associate Certification, Oracle Database Implementation Specialist, Oracle DB Developer Certification, Certified Oracle SQL Developer
Oracle Java Certifications	Oracle Certified Java Developer, Oracle Certified Java Programmer, Oracle Java SE Certification, Java Certification by Oracle, Oracle Certified Professional - Java, Oracle Certified Associate - Java, OCPJP (Oracle Certified Professional Java Programmer), OCAJP (Oracle Certified Associate Java Programmer), Oracle Java Certification Exams, Oracle JAVA EE Certifications
Palo Alto Networks Certified Cybersecurity Associate (PCCSA)	Palo Alto Networks Cybersecurity Associate, PCCSA Certification, Certified Cybersecurity Associate, Palo Alto Networks Security Associate, PCCSA Certified Professional, Palo Alto Networks Cybersecurity Specialist, PCCSA Accreditation, Palo Alto Networks Network Security Certification, PCCSA Exam Qualified, Certified Palo Alto Networks Security Associate, PCCSA
Palo Alto Networks Certified Network Security Administrator (PCNSA)	Palo Alto Networks Certified NS Administrator, PCNSA Certification, Palo Alto Network Security Admin, PCNSA Certified Professional, Palo Alto Network Administrator Certification, PCNSA Network Security Specialist, Certified Palo Alto Networks Admin, PCNSA Firewall Security Certification, Palo Alto Networks NS Admin Expert, PCNSA Cybersecurity Certification, PCNSA
