unique_id	Level 2	alternative_names_clean
300	AWS Certified Solutions Architect - Associate	AWS Solution Architecture Certification - Associate Level, AWS Certified Architect, AWS, AWS Associate Architect, AWS Solutions Architect, AWS Solution Architect Associate, Certified Solutions Architect - Associate (AWS), Amazon Web Services Certified Solutions Architect - Associate, AWS Cloud Architect, Amazon Web Services Architecture Certification, AWS CSA - Associate
301	AWS DevOps Engineer	AWS DevOps Certification, AWS Certified DevOps Engineer, AWS Developer Operations Engineer, AWS Cloud DevOps Engineer Certification, AWS DevOps Specialist, Amazon Web Services DevOps Engineer Certification, Certified AWS DevOps Architect, AWS, AWS Certified Developer Operations Specialist, Amazon DevOps Engineer Certification, AWS DevOps Professional
302	AWS SysOps Administrator	AWS Administration Specialist, Amazon SysOps Architect, AWS System Operations Administrator, AWS Ops Engineer, AWS SysAdmin, Amazon Web Services Administrator, Certified Cloud Administrator, AWS Cloud Operations Engineer, AWS, Certified AWS SysOps Professional
303	AWS Developer	Certified Amazon Web Services Application Developer, Amazon Web Services Developer, AWS Cloud Developer, AWS Solutions Developer, Amazon Developer Certification, AWS Software Development Engineer (SDE), AWS Application Developer, AWS, AWS DevOps Engineer (Developer Track)
304	AWS Cloud Practitioner	AWS Cloud Associate, AWS Cloud Essentials, Amazon Web Services Cloud Specialist, Certified AWS Cloud Professional, AWS Cloud Certified, AWS Certified Solutions Architect - Associate, AWS Cloud Fundamentals, Amazon Cloud Practitioner, AWS Cloud Foundation, AWS
305	Apple Certified Support Professional (ACSP) – macOS	macOS Certified Support Professional, Apple Certified Support Associate (ACSA) – macOS, ACSP, Apple Support Professional, Apple Mac Technician Certification, macOS Technical Specialist Certification, Apple Certified Mac Support Specialist, Apple Certified macOS Technician, ACSP – Mac Support Certification, ACSP – macOS Troubleshooting
306	Apple Certified Support Essentials 10.14 – macOS	Apple Certified Support Associate - macOS, Apple Mac Tech Certification, ACSE 10.14 - macOS, Apple Certified Technical Coordinator (ACTC) - macOS 10.14, Apple Support Essentials Certification, Apple Certified macOS Technician, ACSP 10.14, Apple Certified Support Professional, ACDT 10.14 - macOS, macOS Support Specialist Certification
307	Apple Certified Pro (for Final Cut Pro X and Logic Pro X)	Apple Certified Specialist in Video Editing and Audio Production, Apple Pro Certification, for Final Cut Pro X and Logic Pro X, Final Cut Pro X Certification, Apple Certified Pro in Video Editing and Audio Production, Logic Pro X Certification
308	AppleCare Service Certifications – ACMT & ACiT	ACMT and ACiT Training Programs, Apple Product Service Certifications - ACMT & ACiT, AppleCare Service Training, Apple Certified Mac Technician Certification, ACMT & ACiT Certifications, AppleCare Technical Certification - ACMT & ACiT, AppleCare Certifications, Apple Support Technician Certifications - ACMT & ACiT, Authorized Apple Repair Technician Accreditation - ACMT & ACiT, Apple Certified iOS Technician Certification
309	Cisco Certified Technicians (CCT)	Cisco Certified Tech, CCT Certification, CCT, Certified CCT Professional, CCT Network Engineer, Cisco Hardware Technician, Cisco Support Engineer, Cisco Field Technician, Cisco Technician, Cisco Technical Specialist
310	Cisco Certified Entry Networking Technician (CCENT)	Cisco Networking Technician, CCENT-Designated, Entry Level Networking Technician, Cisco Entry-Level Networking Certification, Cisco Entry Level Certification, CCENT Certified, CCENT Certification, CCENT, Cisco Certified Technician (CCT), Cisco Network Technician
311	Cisco Certified Network Associate (CCNA)	CCNA, Cisco Certified Associate, Network Associate (CCNA), Cisco Certified Networking Associate, CCNA Certified Professional, CCNA Qualification, CCNA Certification, Cisco Network Associate, Cisco CCNA, Cisco CCNA Certification
312	Cisco Certified Network Professional (CCNP)	CCNP Certification, Cisco Network Professional, Certified Network Professional, CCNP, Cisco CCNP Certification, CCNP Routing and Switching, Cisco Certified Professional, Cisco Certified Network Pro, CCNP Level Certification, Cisco CCNP
313	Cisco Certified Architect (CCAr)	Cisco Architect, Cisco Certified Architect, Cisco Infrastructure Architect, CCIE Architect, Cisco Architecture Expert, CCAr Certification, Cisco Network Architecture Professional, Certified Cisco Solutions Architect, CCAr, Cisco Design Specialist
314	Citrix Certified Expert – Virtualization (CCE-V)	Citrix Certified Virtualization Professional, CCE-V Certification, Citrix Certified XenDesktop Engineer – Virtualization (CCXD-V), Citrix VDI Specialist, Citrix Certified Advanced Administrator – Virtualization (CCAA-V), CCE-V certified, Citrix Virtualization Guru, Citrix Virtualization Expert, Citrix XenServer Expert, Citrix Desktop Virtualization Expert, CCE-V
315	Citrix Certified Professional – Virtualization (CCP-V)	CCP-V Credential, Citrix VDI Specialist Certification, Citrix Virtualization Engineer, Citrix Certified Virtualization Expert, Citrix Virtualization Professional, Certified Citrix Virtualization Specialist, Citrix Certified Professional for Virtualization, Citrix Virtualization Architect, CCP-V, CCP-V Certification
316	Citrix Certified Associate – Virtualization (CCA-V)	Citrix Certified Virtualization Professional, CCA-V, CVA – Citrix Certified Virtualization Administrator, Citrix Virtualization Associate, CCA-Virtualization, Citrix VDI Certification, Citrix Desktop Virtualization Certification, Citrix Certified Associate in Virtualization
317	Citrix Certified Professional – Networking (CCP-N)	CCP-N Certification, CCA-N - Citrix Certified Associate – Networking, Certified Citrix Networking Professional, CCNP - Citrix Certified Professional – Networking, Citrix Networking Specialist, Citrix Network Engineer, Citrix Networking Expert, Citrix Networking Professional, Citrix Certified Network Associate, CCP-N
318	Citrix Certified Associate – Networking (CCA-N)	Citrix Network Administrator, CCA-N Certification, CCA-N, CCAN Certification, Citrix Networking Specialist, CCA-N Exam, Citrix Certified Networking Professional, Citrix Networking Expert, Certified Citrix Network Associate, Citrix Networking Associate, Citrix Certified Associate – Network Engineer (CCA-NE)
319	Citrix NetScaler SD-WAN Certified (CC-SDWAN)	CC-NSD, CC-NS-SDWAN, Citrix NetScaler Certified - SD-WAN, CC-SDWAN, Citrix NetScaler WAN Optimization Certification, Citrix NetScaler SD-WAN Specialist, CC-NetScaler SD-WAN, Citrix SD-WAN Certification, Citrix SD-WAN Engineer, Certified NetScaler SD-WAN Professional
320	Citrix Certified Professional – Mobility (CCP-M)	Certified Citrix Mobility Consultant, Citrix Mobility Professional, Citrix Mobility Engineer, Citrix Mobility Administrator, CCP-M Exam, Citrix CCP-M, Citrix Certified Professional - Mobile Solutions, Certified Citrix Mobility Expert, CCP-M, CCP-M Certification, Citrix Certified Mobility Specialist
321	Check Point Certified Security Administrator (CCSA) R80	Check Point R80 Security Administrator, Check Point Certified Administrator, Check Point Firewall Administrator, Check Point Network Security Admin (CCSA), Check Point Security Administrator, CCSA R80 Certification, CCSA R80 Exam, CCSA, CCSA Certified Professional, Check Point Firewall Expert
322	Check Point Certified Expert (CCSE) R80	CCSE-R80 Exam Certification, Certified Professional in CheckPoint Security Engineering (R80), Check Point CCSE R80, Check Point Certified Security Expert (CCSE) R80, Check Point Security Expert R80, CheckPoint CCSE R80 Credential, Check Point Network Security Engineer (CCSE) R80, CCSE, CCSE-R80 Certification, Certified Expert in Check Point Security (R80), CheckPoint Advanced Security Engineer (CCSE) R80
323	Check Point Certified Security Master (CCSM) R80	Certified Security Master (CCSM), Check Point R80 Security Master, CCSM Certification, Check Point CCSM R80, CCSM, Check Point CCSM, CCSM R80, Check Point Security Master, Checkpoint Certified Security Master (CCSM) R80, Checkpoint Security Master Certification (CCSM), CCSE-R80
324	A+	A Plus, IT Support Professional, CompTIA PC Technician, CompTIA Certified Technician, CompTIA IT Fundamentals+, CompTIA Entry-Level Technician
325	Project+	Certified Project Manager, Certified Project Professional, CompTIA Project Plus, PMI-Plus Certification, Project Manager+, Project Management+, Project Management+ Certification, CompTIA Project Certification, Plus in Project Management
326	Server+	Server Administrator Certification, Certified Server Professional, Servers+, Server Plus, Server Plus Certification, CompTIA Server Plus
327	Certified Technical Trainer (CTT+)	Technical Trainer Certification, CTT+ Training Certification, Certified Trainer, Certified IT Trainer, Trainer Certification, CTT Plus, CTT+, CTT+ Certified, Certified Training Professional, Certified Technical Instructor (CTI), Certified Instructional Technologist (CIT)
328	Linux+	Linux Plus, CompTIA Certified Linux Administrator (CLA), LPIC-1, LX0-103 and LX0-104, Linux Professional, Linux Administration Certification, LPI Certified Linux Administrator, Linux Operating System Certification, Linux Server Certification
329	Cloud+	Certified Cloud Infrastructure Professional (CCIP), CompTIA CLO-001, CompTIA Certified Cloud Professional, Cloud Computing Specialist, Cloud Technology Expert, Cloud Essentials+, Advanced Cloud Computing Certification (ACCC), Cloud Plus
330	CloudEssentials+	Fundamentals of Cloud Computing, CompTIA Cloud Essentials, Cloud Certification, Basic Cloud Skills, Cloud+, Cloud Computing Essentials, Essential Cloud Knowledge, Cloud Technology Basics, Introduction to Cloud Computing, Cloud Essentials Plus
331	PenTest+	Offensive Security Certified Professional (OSCP), Certified Web Application Penetration Tester (CWAPT), Penetration Testing+, PenTesting+, CEH (Certified Ethical Hacker), ECPPT (Certified Professional Pentester), PT+, CREST Registered Tester, GIAC Penetration Tester (GPEN)
332	CASP+	CompTIA Advanced Security Professional, CASP Plus, CASP Plus Certification, CompTIA Advanced Security Specialist, CompTIA Advanced Security Expert, CompTIA Advanced Security Practitioner, CASP Certification
333	Network+	CompTIA N+, Networking Certification, N+, Networking+, Network Professional, Network Certification, Network Plus, Certified Network Associate, Network Technician
334	ITF+	IT Fundamentals+, Beginner's IT certification, Entry-level IT certification, Foundation level IT certification, IT Fundamentals Certification, Core IT knowledge certification, Basic IT skills certification, ITF Plus, Introduction to IT certification
335	CySA+	CSA+ Certification, Cybersecurity Analyst Certification, CySA Plus, CompTIA CSA+, Cybersecurity Analyst Plus, CompTIA Cybersecurity Analyst+, CSA-Plus, Cybersecurity Analyst+
336	Data+	Professional Data Analyst, Data Management+, Data Science Plus, Data Plus, Data Analytics+
337	DataSys+	DataSys Specialist, Data Systems Plus, DataSys Plus, Advanced DataSys Credential, Data Management Certification+, Data Sys Plus, DataSys, Data Systems+, Data Sys+, Certified DataSys Professional
338	EMCISA	EMC Storage and Management Professional, EMC Storage Associate, EMC Information Storage and Management Associate, EMCISM Certification, EMC Data Storage and Management Specialist, EMC Information Storage Administrator, EMC Information Storage Associate, EMC ISM Associate
339	EMCDS	EMC Data Science Professional Certification, EMC Analytics Engineer, EMC Data Science Specialist, Expert in EMC Data Science, EMC Data Scientist, EMC Data Science Practitioner
340	VCE-CIA	VCE Certified Implementation Architect, Vblock Systems Administration Specialist, Vblock CIA Certification, VCE-Certified IA, Implementing Vblock Solutions - Certified Implementation Architect (VCE CIA), Certified Implementation Architect (CIA), VCE Implementation Architecture Certification, VCE CIA
341	GSEC: GIAC Security Essentials	 GIAC Certified, GIAC Security Essentials Specialist, GIAC Information Security Professional (GSEC), GSEC Exam Passer, GSEC Credential Holder
342	GCIH: GIAC Certified Incident Handler	GIAC Cybersecurity Certification - Incident Handler (GCIH),  Certified in Incident Response and Recovery, GCIH
343	GCIA: GIAC Certified Intrusion Analyst	GCIA Cybersecurity Certification, Intrusion Analyst Certification, GIAC Intrusion Analyst, GIAC Certified Analyst, Certified Network Intrusion Analyst, GIAC GCIA, GCIA Certification, GCIA Certified Professional, GIAC Intrusion Detection Expert., Certified Intrusion Analyst
344	GCFA: GIAC Certified Forensic Analyst	Digital Forensics Examiner (GCFA), GIAC Certified Incident Handler - Forensics Focus (GCIH-GCFA), GCFA Certification, GIAC Forensic Analyst, GIAC Digital Forensics Professional, GCFA Certified Expert, Cyber Forensic Analyst Certification, GIAC Incident Response and Forensics (GCFE), GCFA Cybersecurity Certification, Certified Forensic Analyst
345	GPEN: GIAC Penetration Tester	Cybersecurity Penetration Testing Expert (GPEN),  Certified Penetration Tester, Advanced Penetration Testing (GPEN), GIAC Certified Penetration Tester
346	GSLC: GIAC Security Leadership	 Security Management Certification, GSLC Certified Expert in Security Leadership, GIAC SL Certification, Information Security Leadership Certified, GIAC Certified Security Leader
347	GREM: GIAC Reverse Engineering Malware	GIAC GREM Certified, Advanced Malware Analysis Certification,  Reverse Engineering Malware, Malware Reverse Engineering Certification, GIAC Certified Reverse Engineer, Certified Malware Analyst - GREM, GIAC REM Specialist
348	GSNA: GIAC Systems and Network Auditor	 GIAC Network Security Engineer, GSEC
349	GCED: GIAC Certified Enterprise Defender	GCED Cybersecurity Certification, Certified Enterprise Defender, GCED Certification, GIAC Security Professional - Enterprise Defender, GIAC Certified Defense Expert, Certified GIAC Enterprise Defender, GCED, GCED Cyber Defense Certification, GIAC Enterprise Security Expert, GIAC Enterprise Defender
350	GCWN: GIAC Certified Windows Security Administrator	 GIAC Windows Admin, GCWN, GIAC Certified Windows Administrator
351	GPPA: GIAC Certified Perimeter Protection Analyst	GIAC PPA Certification, GPPA, GIAC Certified Penetration Tester - Perimeter Protection Focus, Perimeter Protection Analyst Certification (GPPA),  Perimeter Protection Analyst Certification
352	GPYC: GIAC Python Coder	GIAC GPYC,  GIAC Python Programming Expert, Certified Python Coder (GPYC)
353	GRID: GIAC Response and Industrial Defense	GIAC GRID Analyst,  Industrial Defense Certified Professional, GIAC Incident Response and Industrial Defense Expert, Industrial Defense Incident Responder Certification, GRID Security Professional Certification
354	Google Cloud Certification – Associate Cloud Architect	Google Cloud Platform Associate-Cloud-Architect Exam, Google Cloud Solutions Architect, GCP, GCP Cloud Architect Certification, Google Cloud Associate Architect, GCP Associate Cloud Engineer Certification, GCP ACA Certification, GCP Certified Cloud Architect, Google Certified Professional - Cloud Architect (Associate), Google Cloud Professional - Associate Level, GCP ACE Certification
355	Google Cloud Certification – Associate Cloud Developer	GCP Cloud Developer Certification, Google Associate Cloud Development Certification, Google Certified - Associate Level in Cloud Development, GCP, GCP Associate Cloud Developer, Google Cloud Certified - Associate Cloud Developer, GCP - ACE (Associate Cloud Engineer) Certification, Google Certified Professional - Associate Level in Cloud Development, Google Cloud Developer, GCP ACE Developer Certification, Associate Cloud Developer
356	Google Cloud Certification – Associate Data Engineer	GCP DE Certification, Google Cloud Data Engineering Associate Certification, GCP Associate DE Certification, Google Cloud Certified - Associate DE, GCP Associate Data Engineering Certification, Google Certified - Associate Data Engineer, GCP, Associate Data Engineer, Google Cloud Data Engineer, Google Cloud Certified - Data Engineer, GCP ACE Certification
357	Google Cloud Certification – Associate Cloud DevOps Engineer	Google Cloud Associate DevOps Engineer Certification, Google Cloud Certified DevOps Professional, GCP, GCP Associate - Cloud Ops Engineer Certification, Google Associate - Cloud Developer/Operator Certification, GCP Certified Associate for DevOps Engineering, GCP Cloud DevOps Specialist, Google Cloud Platform DevOps Engineer Certification, Google Cloud DevOps Engineer, GCP Associate Cloud DevOps Engineer
358	Google Cloud Certification – Associate Cloud Security Engineer	Google Cloud Certified - Associate Security Engineer, Google Cloud Associate Security Engineer, GCP Cloud Security Certification, GCP Associate Cloud Security Engineer, GCP, Google Cloud Security Engineer Certification, GCP Cloud Security Engineer, Certified Google Cloud Associate – Cloud Security, Google Cloud Security Certification, Google Associate Cloud Security Engineer Exam, GCP ACE – Associate Cloud Security Engineer
359	Google Cloud Certification – Associate Cloud Network Engineer	Google Cloud Networking Certification, Google Cloud Associate Network Architect Certification, GCP, GCP Cloud Networking Specialist, Google Cloud Certified Network Engineer, GCP Associate Cloud Network Engineer, Google Cloud Network Engineering Certification, Associate-level GCP Network Engineer, GCP Certified Cloud Infrastructure Engineer - Networking Track, GCP Associate-Level Networking Specialist, Google Cloud Network Engineer
360	Google Cloud Certification – Associate Collaboration Engineer	GCCE - Associate Level, Google Cloud Associate Collaboration Engineer, GCP, Google Cloud Certification - Associate Collab Engineer, GCP Associate Collaboration Specialist, Google Cloud Associate Collab Engineer Certification, Google Certified Collaboration Professional, Google Cloud Collaborative Engineer, GCP Collaboration Engineer, GSuite Collaboration Engineer Certification, GCP Collab Engineer - Associate Level
361	Google Cloud Certification – Professional Cloud Architect	Google Cloud Solutions Architect, GCP Cloud Architecture Specialist, Google Certified Professional Cloud Architect, GCP Cloud Architecture Expertise, GCP, GCP Cloud Architect Certification, GCP Professional Architect Credential, Google Professional Cloud Architect Certification, GCP Certified Cloud Architect, Google Cloud Platform Architect, Google Cloud Professional Architect
362	Google Cloud Certification – Professional Cloud Developer	GCP Cloud Development Certification, Google Certified Cloud Developer, GCP, Professional Cloud Developer Certification, Google Cloud Platform Developer Certification, Certified Google Cloud Developer, Google Cloud Developer Certification, GCP Professional Cloud DevCertification, Google Professional Cloud Development, GCP Developer Certification, Google Cloud Professional Developer
363	Google Cloud Certification – Professional Data Engineer	GCP Data Engineer Certification, Certified Google Cloud Data Engineer, Google Cloud Platform - Professional Data Engineer Certificate, Google Cloud Professional Data Engineer, Google Cloud Certified Data Engineer, GCPE - Professional Data Engineering Certification, GCP Professional Data Engineer Exam, GCP, Google Cloud Data Engineering Specialist, Professional Data Engineering Certification by Google Cloud, GCP PDE (Professional Data Engineer) Certification
364	Google Cloud Certification – Professional Cloud DevOps Engineer	Google Certified Professional – CloudDev Ops Expert, GCP, GCP Professional Cloud DevOps Engineer, GCP Cloud DevOps Engineer, Google Cloud Certified – DevOps Engineer, Professional Cloud DevOps Engineer Certification by Google, Google Cloud Platform DevOps Engineer Certification, Google Cloud DevOps Engineer, GCP Certified Cloud DevOps Professional, Google Cloud Professional DevOps Certification, GCP DevOps Specialist
365	Google Cloud Certification – Professional Cloud Security Engineer	GCP-PCSE (Google Certified Professional - Cloud Security Engineer), GCP Cloud Security Architect, Google Cloud Security Engineer, Google Cloud Certified - Cloud Security Professional, GCP, GCP Security Engineer Certification, Google Cloud Security Specialist, GCP Professional Cloud Security Engineer, Google Certified Professional in Cloud Security Engineering, Professional Cloud Security Engineer Certification from Google
366	Google Cloud Certification – Professional Cloud Network Engineer	Google Cloud Network Certification, Professional Cloud Networking Engineer - GCP, Google Certified Professional for Cloud Networking, Google Certified Network Engineer, GCP Cloud Network Specialist, GCP, GCP Certified Cloud Network Engineer, Professional-level Network Engineer on Google Cloud Platform (GCP), GCP Cloud Network Engineer, GCP Cloud Networking Architect, Google Cloud Professional Networking Certification
367	Google Cloud Certification – Professional Collaboration Engineer	Professional Collaboration Engineer (GCP), GCP Professional Collaboration Engineer, Google Cloud Collaboration Engineer, Google Collaboration Engineer Certification, Google Professional Collaboration Engineer Credential, GCP Collaboration Engineer Certification, Google Cloud Pro Collab Engineer, GCP, GCP Collab Engineering Certification, GCP Collaborative Engineering Certification, Google Cloud Certified - Collaboration Engineer
368	Google Cloud Certification – G Suite	G Suite Administrator Certification, GCP, G Suite Deployment Specialist, Google Cloud Collaboration Certification, Google G Suite Certification, Google Workspace Certified Professional, Google Cloud Productivity Certification, G Suite Integration Engineer, Google Cloud G Suite Specialist, G Suite Certified Professional, G Suite Implementation Expert
369	IBM Certified Deployment Professional	IBM Application Deployment Specialist, IBM Deployment Pro, IBM Certified Deployment Specialist, IBM Deployment Professional, IBM Certified Deployment Expert, IBM Software Deployment Expert, IBM Certified Deployment Pro, IBM Certified DevOps Engineer, Certified IBM Deployment Professional, IBM Cloud Deployment Professional
370	IBM Certified Solution Designer	IBM Certified Design Specialist, IBM Solution Designer, IBM Solution Architect, IBM Design Practitioner, IBM Design Expert, IBM Certified Designer, IBM Solutions Engineer, Certified IBM Design Professional, Certified Solution Designer - IBM, IBM Design Consultant
371	IBM Certified Specialist	IBM Certified Solutions Expert, IBM Certified Professional, IBM Specialist Credential, Certified IBM Specialist, IBM Technology Specialist, Accredited IBM Specialist, IBM Specialist, IBM Specialist Certification, IBM Certification, Certified IBM Expert
372	IBM Certified Administrator	IBM Systems Admin Specialist, IBM Administrator, Certified IBM Admin Engineer, IBM Admin Professional, IBM Administration Specialist, IBM Infrastructure Administrator, IBM Server Administrator, IBM Certified System Administrator, IBM Admin Expert, IBM Certified Admin
373	IBM Certified Developer	IBM Development Professional, IBM Developer Certification, IBM Programming Architect, IBM Developer Expert, IBM Coding Specialist, IBM Certified Application Developer, Certified IBM Developer Associate, IBM Software Development Engineer Certification, IBM Certified Programmer, IBM Certified Software Developer
374	IBM Certified Designer	IBM Visual Designer, IBM User Experience (UX) Certified, IBM Creative Designer, Certified IBM Designer, IBM Design Professional, IBM Design Expert, IBM Design Thinking Practitioner, Certified IBM Design Consultant, IBM Certified UX Designer, IBM UI/UX Specialist
375	IBM Certified Solution Expert	IBM Solution Consultant Certification, IBM Solutions Deployment Specialist, IBM Certified Integration Professional, Certified IBM Solution Specialist, IBM Certified Solution Architect, IBM Certified Expert, IBM Solution Design Expert, IBM Solutions Engineer, IBM Solution Expert Certification, IBM Certified Technology Specialist
376	IBM Certified System Administrator	Certified Administrator for IBM Systems, IBM Server Admin, IBM System Admin Engineer, Certified IBM Administrator, IBM SysAdmin, IBM Certified Admin, IBM Certified SysAdmin Expert, IBM System Admin, IBM System Administrator Professional, IBM System Administration Specialist
377	Microsoft Technology Associate (MTA)	MTA Certification, Microsoft Technology Professional (MTA), Microsoft Technology Associate Program, MTA Certified, MTA, MTA Exam Certification, Microsoft Technical Associate, Microsoft Certified Technology Associate, Microsoft Technology Foundation Certification, MTA Developer Certification
378	Microsoft Certified Solutions Associate (MCSA)	MCSE,  Core Infrastructure (formerly MCSA), MCSA Windows 10
379	Microsoft Certified Solutions Expert (MCSE)	MCSE, Microsoft Certified SE, Microsoft Certified Solutions Expert, Microsoft Cloud Solutions Expert (MCSE), MCSE Specialist, Microsoft Solutions Expert, MSCE, MCSE Professional, Certified Solutions Expert (MCSE), MCSE Certification, Microsoft System Engineer
380	Micro Focus Identity Manager Certification	Certified Identity Manager Specialist, Micro Focus IDM Certification, Identity Manager Certified Professional, ID Manager Certification, Micro Focus Identity Management Certification, Micro Focus IDM Certified Engineer, Identity Manager Certification, Micro Focus ID Manager Certification, Micro Focus Identity Governance and Administration Certification, IDM Certification
381	Micro Focus Open Enterprise Server Certification (OES)	Micro Focus OES Certification, Certified OES Administrator., Certified Open Enterprise Server Administrator, Micro Focus Open Enterprise Server Accredited Engineer, Micro Focus Novell OES Certification, OES Certified Engineer, OES, Novell Open Enterprise Server Certification, OES Certified Expert, Micro Focus OES Specialist, Micro Focus Open Enterprise Server Certified Professional
382	Micro Focus ZENworks Certification	ZENworks Certified Engineer, ZENworks Admin Certified Professional, Micro Focus ZENworks Certified Professional, ZENworks Certification, Micro Focus Endpoint Management Certification, Endpoint Management Certified Engineer, ZCM Certified Professional, Micro Focus ZENworks Administrator Certification, Micro Focus ZCM Certification, Micro Focus Desktop Management Certification
383	Oracle CRM On Demand Certifications	Oracle Customer Relationship Management Certifications, Oracle CRM Certifications, Oracle Service Cloud Certifications, Oracle Sales Cloud Certifications, Oracle CX On-Demand Certifications, Oracle On-Demand Certifications, Oracle CRM On-Demand, Oracle Siebel CRM Certifications, Oracle CRM Specialist, Oracle CRM Cloud Certifications
384	Oracle Cloud Certifications	Oracle Cloud Certified, Oracle Infrastructure as a Service (IaaS) Certification, Oracle Cloud Implementation Expert, Oracle Cloud Professional, Oracle Cloud Specialist, Oracle Cloud Developer, Oracle Cloud Solutions Consultant, Oracle Cloud Architect, Oracle Cloud Administrator, Certified Oracle Cloud Associate
385	Oracle Database Certifications	Oracle DBA Certifications, OCS - Oracle Certified Specialist in Database, Oracle Certified Professional (OCP) for Database, Oracle DB Certifications, Oracle Certified Database Professional, Oracle Certified Associate (OCA) for Database, Oracle Database Administrator Certifications, OCM - Oracle Certified Master DBA, OCE - Oracle Certified Expert (Database), Oracle Advanced PL/SQL Developer Certified Professional
386	Oracle Java Certifications	Java SE Certification, Oracle Java SE Certifications, Oracle Certified Professional Java Programmer, OCPJP Certification, OCJA Certification, Oracle Certified Expert - Java EE Web Component Developer, Java Certification Exam, OCAJP Certification, Oracle Certified Associate Java Programmer, Oracle Certified Java Developer
387	Palo Alto Networks Certified Cybersecurity Associate (PCCSA)	Palo Alto Networks Cybersecurity Associate, Palo Alto Networks Security Associate, PCCSA Certified Professional, PCCSA Cybersecurity Certification, Palo Alto Networks Certified Associate, PCCSA, PaloAlto PCCSA, Palo Alto Networks Cybersecurity Specialist, PCCSA Certification, Certified Cybersecurity Associate (Palo Alto), Palo Alto Network Security Foundation Exam
388	Palo Alto Networks Certified Network Security Administrator (PCNSA)	PCNSA, Palo Alto Networks Network Security Administrator, Palo Alto Networks Security Administrator, PCNSA Certified Engineer, Palo Alto Network Security Admin Associate, Palo Alto Networks Network Security Specialist, PCNSA Certification, Palo Alto Certified NS Admin, PCNSA Certified Professional, Palo Alto Firewall Administrator
